node_id	pr_value
663930	0.00016884075780071963
482708	9.244261857315135e-05
1034017	5.4942471383492065e-05
663559	4.833820184191497e-05
357530	4.561984551518541e-05
1120567	4.492011186119918e-05
663605	4.330154599175995e-05
663682	3.733681932913226e-05
664788	3.443758535534432e-05
1108860	3.44176251889445e-05
