Id	Label	Color
308	Ave Maria	0
309	Miles	10
310	Chowan	10
311	Dartmouth	5
312	Wisconsin-Oshkosh	8
313	Mississippi College	7
314	Virginia-Wise	0
315	Arkansas Tech	7
316	West Liberty State	11
317	Alderson Broaddus	11
318	Limestone College	2
319	Kentucky Wesleyan	9
320	Wesley	0
